id,name,description,price,stock,category,createdAt
0ed92362-93e9-4372-bbb3-02675a39b1eb,Product 572,Generated product #572,20.60,177,toys,2026-09-13T03:58:56.524Z
5a00617a-4330-4396-a2f1-bd67fb29403d,Product 510,Generated product #510,28.49,739,food,2026-09-13T03:58:56.524Z
b7c5a757-7b6e-482c-aec8-382ad4d388e9,Product 60,Generated product #60,33.51,801,electronics,2026-09-13T03:58:56.524Z
bbb4338e-64dc-4eef-9537-66197fa302b4,Product 571,Generated product #571,65.08,380,clothing,2026-09-13T03:58:56.524Z
8eb7911e-e3f8-4869-a86f-4ee9e5254f32,Product 226,Generated product #226,73.74,990,toys,2026-09-13T03:58:56.524Z
e5f05f01-7bb1-4cba-92a0-2fdee450ebf6,Product 489,Generated product #489,12.39,390,electronics,2026-09-13T03:58:56.524Z
42569a66-f6b4-49c8-ba3d-ab151f3cfe37,Product 411,Generated product #411,35.68,405,food,2026-09-13T03:58:56.524Z
7622c727-12b5-41e3-93d0-dbbf0617efac,Product 975,Generated product #975,41.38,957,clothing,2026-09-13T03:58:56.524Z
20dd3ad5-4eb7-4374-b5ee-9d29c0e89b64,Product 714,Generated product #714,52.23,110,electronics,2026-09-13T03:58:56.524Z
39363dbf-d332-44e5-9b2b-ebd3c6246e41,Product 570,Generated product #570,55.86,532,toys,2026-09-13T03:58:56.524Z
c07c4a5e-44a0-424a-8e94-e3465cf6f58d,Product 517,Generated product #517,33.84,361,clothing,2026-09-13T03:58:56.524Z
50c8c34e-ee79-4793-b15d-18b367087776,Product 162,Generated product #162,29.11,661,toys,2026-09-13T03:58:56.524Z
2e6d1988-01b6-4191-8a83-7052d70d6bfd,Product 707,Generated product #707,38.11,69,food,2026-09-13T03:58:56.524Z
83e0219d-89cb-43b7-bede-d6f8519fd9c8,Product 14,Generated product #14,56.84,348,electronics,2026-09-13T03:58:56.524Z
a201155f-a68e-4afa-8a81-08c00d3cb45a,Product 793,Generated product #793,59.89,29,food,2026-09-13T03:58:56.524Z
b83cf423-7189-47a0-ba07-7e03ae99c7a5,Product 835,Generated product #835,43.55,112,food,2026-09-13T03:58:56.524Z
7bc05818-1b38-4d89-a778-608c59d30513,Product 443,Generated product #443,90.18,875,food,2026-09-13T03:58:56.524Z
be3491cc-4a28-4a7e-bc33-4a59511519df,Product 242,Generated product #242,10.06,725,toys,2026-09-13T03:58:56.524Z
d0df23a9-3b28-44c2-b5d8-ff41286c37e0,Product 369,Generated product #369,9.56,546,electronics,2026-09-13T03:58:56.524Z
141c580c-b7ab-47bd-806a-baf0b595a9bc,Product 712,Generated product #712,71.32,682,food,2026-09-13T03:58:56.524Z
bf76bca8-2f47-4890-86eb-d4938ac80a2e,Product 339,Generated product #339,31.29,427,toys,2026-09-13T03:58:56.524Z
d3a9022d-bdff-4b4f-a07e-49262148a003,Product 277,Generated product #277,76.36,714,food,2026-09-13T03:58:56.524Z
80fc848f-6d7a-41fd-81db-f5263b68b57a,Product 632,Generated product #632,52.25,496,food,2026-09-13T03:58:56.524Z
4f99cfd5-985f-48b7-a2e5-cc8c7bdd8c11,Product 154,Generated product #154,9.59,364,clothing,2026-09-13T03:58:56.524Z
30bf57c8-a561-49ad-8135-8e4ee695fc44,Product 318,Generated product #318,96.67,912,electronics,2026-09-13T03:58:56.524Z
0048285f-7a99-4b49-8865-84e6fdbfcfc1,Product 826,Generated product #826,87.70,632,clothing,2026-09-13T03:58:56.524Z
